6/28/2016,Patient Search - Staph Project, 4:23:07PM,,,,,
PATIENT_ID,PATIENT_NAME,BIRTHDATE,WEIGHT_KG,WEIGHT_DATE,SPECIES,BREED,SEX
170811,DUKE,4/1/2010,72,6/24/2016,CANINE,SOUTH AFRICAN BOERBOEL,M
170844,MACON,7/26/2010,21.3,6/18/2014,CANINE,ENGLISH SPRINGER SPANIEL,MC
171977,SAMMY,8/29/2000,12,8/19/2014,CANINE,CLUMBER SPANIEL,MC
172028,THEO,8/1/2004,10.1,1/30/2014,CANINE,PEKINGESE,MC
172369,KANE,8/17/2006,46.1,11/4/2015,CANINE,MIXED BREED DOG,MC
172393,LUNA,11/21/2011,19,3/21/2016,CANINE,MIXED BREED DOG,FS
173612,DRIESKE,1/1/2009,0,,EQUINE,FRIESIAN,F
173864,EARL,3/3/2008,47.7,7/15/2013,CANINE,GREAT PYRENEES,MC
173972,BIRDIE,4/10/2010,37.7,9/8/2015,CANINE,LABRADOR RETRIEVER,FS
173977,MINNIE,3/18/2007,31.4,6/27/2016,CANINE,MIXED BREED DOG,FS
173984,PJ,12/27/2002,5.7,11/9/2015,CANINE,SHIH TZU,MC
174140,OLIVE,9/8/2007,7.3,11/5/2012,CANINE,SCHNAUZER- MINIATURE,FS
174383,HARLEY,10/22/2003,4.73,11/25/2014,CANINE,CHINESE CRESTED,MC
174769,LUCKY,12/11/2002,13.2,9/10/2015,CANINE,AMERICAN COCKER SPANIEL,MC
174780,MONTY,3/15/2010,32.1,6/8/2016,CANINE,GOLDEN RETRIEVER,MC
174784,CALLIE,4/10/2010,55.2,3/24/2015,CANINE,LABRADOR RETRIEVER,FS
175143,HARLEY,12/20/2003,34.5,7/2/2014,CANINE,AMERICAN STAFFORDSHIRE TERRIER,M
175273,LAUREL,2/25/2006,11.3,3/10/2016,CANINE,SCHNAUZER- MINIATURE,FS
175311,DAKOTA,6/7/2004,30.8,4/12/2013,CANINE,GOLDENDOODLE,MC
175584,PINDAR,3/4/2011,40.3,9/28/2015,CANINE,LABRADOR RETRIEVER,MC
175588,FRANCIS,1/28/2005,3.2,5/3/2013,CANINE,CHIHUAHUA- LONG HAIRED,MC
175757,MAGGIE,3/17/2012,20.54,11/14/2014,CANINE,BORDER COLLIE,FS
175888,HANA,3/25/2005,13.3,11/3/2015,CANINE,AMERICAN COCKER SPANIEL,FS
176067,STEWIE,3/5/2000,8,6/10/2015,CANINE,YORKSHIRE TERRIER,MC
176261,ROMA,10/1/2005,61.2,5/14/2013,CANINE,TOSA INU,FS
176279,JUJUBEE,2/19/2010,10.3,4/4/2013,CANINE,BEAGLE,FS
176303,KAYDEE,2/22/2003,6.2,12/17/2015,CANINE,SHIH TZU,FS
176307,CARL,2/8/2003,35.1,3/4/2013,CANINE,HOUND,MC
176329,CARLY,7/20/2003,9.4,5/20/2016,CANINE,LHASA APSO,FS
176353,CHLOE,11/1/2003,22.2,2/27/2014,CANINE,"BULLDOG, ENGLISH",FS
176359,KINO,5/5/2007,51.7,3/27/2013,CANINE,LABRADOR RETRIEVER,MC
176364,RILEY,11/5/2005,29.484,4/27/2016,CANINE,"BULLDOG, ENGLISH",FS
176365,PEPPER,11/1/2002,22.3,4/26/2013,CANINE,BORDER COLLIE,FS
176366,STINKY,3/20/2003,5.05,9/14/2015,CANINE,POMERANIAN,MC
176396,RUDY,2/26/2009,23.8,10/27/2014,CANINE,"BULLDOG, ENGLISH",MC
176398,EMMIE,5/15/2004,2.32,12/31/2014,CANINE,YORKSHIRE TERRIER,F
176800,RUFUS,3/11/2006,15.4,5/4/2013,CANINE,BEAGLE,MC
176831,SCOOTER,1/31/2001,12.3,3/12/2013,CANINE,SCOTTISH TERRIER,MC
176963,GEMMA,11/19/2012,23.2,5/29/2015,CANINE,AMERICAN STAFFORDSHIRE TERRIER,FS
177166,ROXY,12/17/2005,41.7,6/25/2013,CANINE,GERMAN SHEPHERD DOG,FS
177304,DJANGO,3/8/2011,42.6,8/6/2013,CANINE,GREAT PYRENEES,MC
177308,MAX,4/8/2011,46.778,7/31/2013,CANINE,GERMAN SHEPHERD DOG,MC
177328,CHLOE,10/26/2001,5.7,8/16/2014,CANINE,SHIH TZU,FS
177329,BRUTUS,6/30/2010,4.5,2/27/2015,CANINE,YORKSHIRE TERRIER,MC
177341,THEO,11/7/2007,0,,CANINE,AMERICAN STAFFORDSHIRE TERRIER,MC
177363,ROCKY,5/29/2007,64.2,9/16/2015,CANINE,ROTTWEILER,MC
177375,BAILEY,7/4/2003,16.6,5/22/2013,CANINE,AMERICAN COCKER SPANIEL,M
