6/28/2016,Patient Search - Staph Project, 1:23:05PM,,,,,
PATIENT_ID,PATIENT_NAME,BIRTHDATE,WEIGHT_KG,WEIGHT_DATE,SPECIES,BREED,SEX
155624,CODY,11/6/2006,30.5,12/31/2015,CANINE,GERMAN SHEPHERD DOG,MC
156040,CHARLIE,5/3/2009,12.2,5/16/2014,CANINE,AMERICAN COCKER SPANIEL,FS
157019,ELVIS,12/31/2000,28.2,8/19/2015,CANINE,MIXED BREED DOG,MC
157126,MOXIE,1/26/2010,45.6,11/30/2015,CANINE,LABRADOR RETRIEVER,FS
157231,LEXIE,2/2/2010,42.5,2/16/2016,CANINE,BERNESE MOUNTAIN DOG,F
157959,BECKHAM,9/23/2006,13,12/29/2015,CANINE,FOX TERRIER,MC
158329,CHICA,8/27/2006,19,8/25/2014,CANINE,AMERICAN COCKER SPANIEL,FS
158461,IZZY,3/28/2008,20.1,4/21/2016,CANINE,VIZSLA,FS
158631,BITT,7/18/2002,7.4,9/10/2014,CANINE,JACK RUSSELL TERRIER,MC
158654,CRICKET TOO,11/1/2007,12.3,6/2/2016,CANINE,SCOTTISH TERRIER,MC
160009,MISTY STAR,12/25/2008,24.6,6/27/2016,CANINE,LABRADOR RETRIEVER,FS
160401,ZACK,11/25/2008,36.7,12/11/2015,CANINE,GERMAN SHEPHERD DOG,MC
160507,TRISTAN,8/1/2005,32.8,3/18/2016,CANINE,LABRADOR RETRIEVER,MC
160534,BELLA,2/14/2002,23,10/31/2014,CANINE,POODLE- STANDARD,FS
160832,KAVAN,5/17/2005,31.5,12/21/2015,CANINE,LABRADOR RETRIEVER,MC
161359,RUSTY,2/14/2007,13.4,12/22/2014,CANINE,AMERICAN COCKER SPANIEL,MC
161629,ELSA,4/9/2007,25.4,8/28/2015,CANINE,BELGIAN MALINOIS,FS
161896,HENRY,10/1/2003,34.5,8/8/2014,CANINE,LABRADOR RETRIEVER,MC
161949,NOPPEESE,4/9/2003,6,7/12/2014,CANINE,DACHSHUND,FS
162291,SASHA,7/30/2001,9.9,6/13/2016,CANINE,TERRIER,FS
162923,ARLO,5/30/2002,37,5/28/2015,CANINE,MIXED BREED DOG,MC
163169,BOO BOO,2/14/2003,22.5,9/4/2015,CANINE,CHOW CHOW,MC
163434,LITTLE BIT,3/27/2003,2.5,8/18/2014,CANINE,POODLE- TOY,MC
163460,BUDDY,4/20/2007,21.7,2/17/2016,CANINE,AMERICAN COCKER SPANIEL,MC
163475,ALLIE,9/14/2007,8.5,5/16/2016,CANINE,SCHNAUZER- MINIATURE,FS
163478,PHOENIX,11/14/2007,9.2,1/26/2015,CANINE,FRENCH BULLDOG,FS
163961,LUCKY,11/1/2004,45.1,6/9/2015,CANINE,MIXED BREED DOG,MC
164767,REDFORD,12/12/2002,38.7,5/23/2016,CANINE,LABRADOR RETRIEVER,MC
164842,XANDER,1/31/2011,52.1,5/9/2016,CANINE,GERMAN SHEPHERD DOG,M
165237,KAYLI,12/2/2008,13.3,5/24/2016,CANINE,BICHON FRISE,FS
166749,DIESEL,7/4/2010,33.3,9/2/2015,CANINE,AMERICAN STAFFORDSHIRE TERRIER,MC
166784,MOLLY,5/21/2006,22.9,8/17/2015,CANINE,MIXED BREED DOG,FS
166806,GRADY,1/20/2009,5.9,5/17/2016,FELINE,AMERICAN DOMESTIC SHORTHAIR,MC
166823,GIZMO,12/22/2000,9.9,6/16/2015,CANINE,SHIH TZU,MC
166828,HAILEY,11/1/2010,22.2,9/17/2015,CANINE,LABRADOR RETRIEVER,FS
167016,MOOKIE,12/15/2001,23.9,12/8/2015,CANINE,PORTUGUESE WATER DOG,MC
167350,TEDDY,2/12/2002,53.7,5/16/2015,CANINE,LABRADOR RETRIEVER,MC
167455,KOKO,3/7/2010,38.5,7/23/2015,CANINE,AMERICAN STAFFORDSHIRE TERRIER,FS
167551,GINGER,1/14/2003,18.7,8/23/2014,CANINE,GOLDEN RETRIEVER,FS
167575,CODY,12/1/2001,4.57,8/25/2015,CANINE,POODLE,MC
167774,THOR,8/8/2011,81.7,6/22/2015,CANINE,MASTIFF,M
169059,SHEBA,10/30/2006,61.9,8/24/2015,CANINE,ROTTWEILER,F
169115,WRIGLEY,7/9/2008,32,5/3/2016,CANINE,LABRADOR RETRIEVER,MC
169355,FRANKIE,3/9/2007,30.5,5/9/2014,CANINE,BOXER,MC
169414,MIA,12/19/2006,31.5,5/23/2014,CANINE,GERMAN SHEPHERD DOG,FS
169795,ANDY,4/12/2010,30.4,4/5/2016,CANINE,SETTER,MC
169887,DAISY,5/1/2009,22.1,12/7/2015,CANINE,GREYHOUND,FS
170255,OLLIE,5/17/2009,8.8,3/23/2016,CANINE,WEST HIGHLAND WHITE TERRIER,MC
170356,CHLOE,5/4/2004,11.1,5/25/2016,CANINE,AMERICAN COCKER SPANIEL,FS
170721,FELA,1/25/1999,25.7,12/12/2013,CANINE,MIXED BREED DOG,MC
170796,BUSTER,4/23/2004,22.8,5/13/2016,CANINE,AUSTRALIAN SHEPHERD,MC
170805,SASHA,1/29/2010,34.3,2/23/2016,CANINE,GOLDEN RETRIEVER,FS
170808,RONIN,1/5/2007,33,2/2/2016,CANINE,GERMAN SHEPHERD DOG,MC
170811,DUKE,4/1/2010,72,6/24/2016,CANINE,SOUTH AFRICAN BOERBOEL,M
170822,NELSON,11/1/2004,29,10/9/2015,CANINE,"BULLDOG, ENGLISH",MC
170844,MACON,7/26/2010,21.3,6/18/2014,CANINE,ENGLISH SPRINGER SPANIEL,MC
170847,LUCY,7/26/2011,10.4,4/6/2015,CANINE,"BULLDOG, FRENCH",FS
171754,LADYBUG,7/30/2002,20.7,1/29/2015,CANINE,LABRADOR RETRIEVER,FS
171836,ANNI,8/18/2000,3.19,2/21/2015,CANINE,SHIH TZU,FS
171950,SHADOW,10/1/2006,53,6/3/2014,CANINE,AKITA,FS
172000,ROSIE,5/1/2004,7,12/22/2015,CANINE,DACHSHUND,FS
172111,MORENO,12/15/2008,44.8,1/21/2016,CANINE,WEIMARANER,MC
172269,ZEUS,4/7/2010,95,7/14/2015,CANINE,MASTIFF,MC
172362,GUINNESS,4/7/2012,11.9,11/14/2013,CANINE,MIXED BREED DOG,MC
172682,LIKA,11/1/2003,18.4,7/21/2015,CANINE,GERMAN SHEPHERD DOG,MC
172964,MILLIE,10/3/2002,12,7/24/2015,CANINE,AMERICAN COCKER SPANIEL,FS
172966,WOLF,10/3/2001,16,10/7/2014,CANINE,ESKIMO SPITZ,MC
173021,SNICKERS,10/4/2005,9.5,3/22/2016,CANINE,CAVALIER KING CHARLES SPANIEL,MC
173039,SCOOTER,5/24/2012,17.7,6/30/2015,CANINE,MIXED BREED DOG,M
173651,MUMFORD,5/26/2012,23.8,11/21/2015,CANINE,HOUND,MC
173940,LACI,9/22/2010,40.4,11/13/2014,CANINE,LABRADOR RETRIEVER,FS
173955,OWEN,11/4/2009,26.8,12/28/2015,CANINE,"BULLDOG, ENGLISH",MC
173977,MINNIE,3/18/2007,31.4,6/27/2016,CANINE,MIXED BREED DOG,FS
173984,PJ,12/27/2002,5.7,11/9/2015,CANINE,SHIH TZU,MC
173998,JAKE,10/23/2002,28.3,11/5/2013,CANINE,ENGLISH SPRINGER SPANIEL,UNK
174035,DOLCE,4/17/2005,4.2,11/13/2015,CANINE,MALTESE,MC
174380,IVAN,7/19/2007,49.2,1/5/2015,CANINE,GREAT PYRENEES,MC
174459,BODIE,11/19/2008,23.8,7/17/2013,CANINE,SIBERIAN HUSKY,MC
174598,CLAIRE,2/1/2001,27.5,5/2/2016,CANINE,BOXER,FS
174702,MARTINI,6/16/2006,11.8,12/29/2015,CANINE,AMERICAN COCKER SPANIEL,FS
174769,LUCKY,12/11/2002,13.2,9/10/2015,CANINE,AMERICAN COCKER SPANIEL,MC
174780,MONTY,3/15/2010,32.1,6/8/2016,CANINE,GOLDEN RETRIEVER,MC
174843,BAILEY,7/29/2004,10.6,6/11/2014,CANINE,DACHSHUND- MINIATURE,MC
175215,MASON,12/29/1997,3.3,6/1/2013,FELINE,DOMESTIC LONGHAIRED CAT,MC
175547,APU,7/23/2004,4.25,3/15/2013,CANINE,SHIH TZU,MC
175573,APOLLO,3/1/2003,49,5/26/2015,CANINE,GERMAN SHEPHERD DOG,MC
175674,ALEXA,1/1/2000,13.5,8/12/2014,CANINE,SHETLAND SHEEPDOG,FS
175705,STEWIE,11/13/2012,6.1,1/31/2016,CANINE,JACK RUSSELL TERRIER,MC
175807,MANDY,5/20/2007,5.8,2/25/2015,CANINE,WEST HIGHLAND WHITE TERRIER,FS
176306,NOHEA-BLEU,6/5/2003,36.2,9/22/2015,CANINE,SIBERIAN HUSKY,MC
176329,CARLY,7/20/2003,9.4,5/20/2016,CANINE,LHASA APSO,FS
176340,LYRA,7/1/2011,33.3,12/2/2014,CANINE,GERMAN SHEPHERD DOG,FS
176343,DIESEL,7/4/2009,50,6/13/2016,CANINE,AMERICAN BULLDOG,M
176347,WHISKEY,2/18/2010,29.1,3/29/2016,CANINE,BOXER,FS
176676,BUSTER,7/6/2006,9.2,5/7/2013,CANINE,PUG,MC
176983,MISTY,2/1/2012,57,3/30/2016,CANINE,SOUTH AFRICAN BOERBOEL,FS
177020,COF IVAR,3/20/2003,495,10/29/2015,EQUINE,NORWEGIAN FJORD,MC
177306,SAMSON,4/1/2010,4.5,2/6/2014,FELINE,AMERICAN DOMESTIC SHORTHAIR,MC
177324,HONEY,8/13/2009,12,8/7/2015,CANINE,FRENCH BULLDOG,FS
177329,BRUTUS,6/30/2010,4.5,2/27/2015,CANINE,YORKSHIRE TERRIER,MC
177356,LILLY,1/27/2008,41.5,3/11/2016,CANINE,LABRADOR RETRIEVER,FS
177381,ELLA,9/20/2012,26.3,9/18/2015,CANINE,HOUND,FS
177383,JAX,6/21/2003,5.2,6/7/2016,CANINE,SHIH TZU,MC
177764,JET,5/6/1990,490,5/8/2013,EQUINE,THOROUGHBRED,MC
177940,RUTH,11/6/2004,25.5,1/26/2016,CANINE,BOXER,FS
177998,SPIRIT,7/1/2003,2.62,12/24/2015,CANINE,POMERANIAN,MC
178007,TIMBER,11/12/2001,34.9,10/31/2014,CANINE,GOLDEN RETRIEVER,MC
178072,MAX,11/8/2001,5.25,5/23/2013,CANINE,MALTESE,M
178374,PUCHI,5/20/2009,4.6,5/6/2016,CANINE,MALTESE,FS
178394,SAUCY,12/15/2004,12.2,9/16/2015,CANINE,FRENCH BULLDOG,FS
178406,HAZEL MAE,6/1/2003,38,4/28/2014,CANINE,LABRADOR RETRIEVER,FS
178408,BAILEY,5/24/2008,8.2,9/5/2014,CANINE,SCOTTISH TERRIER,M
178418,KHAYLA,6/7/2007,24,5/10/2016,CANINE,AMERICAN STAFFORDSHIRE TERRIER,FS
178446,BUDDY,9/7/2009,11.6,3/29/2016,CANINE,BOSTON TERRIER,MC
178954,LITTLE MAN,1/16/2005,7.5,10/24/2014,CANINE,MALTESE,MC
178955,LUKE,4/17/2010,29.5,11/18/2015,CANINE,GERMAN SHORTHAIRED POINTER,MC
178967,TEBOW,11/9/2011,30.3,8/13/2014,CANINE,"BULLDOG, ENGLISH",MC
178989,HICKORY,11/2/2007,14.9,3/4/2016,CANINE,BEAGLE,MC
179327,COOLEY,6/18/2009,44.3,7/7/2015,CANINE,LABRADOR RETRIEVER,MC
179360,LILAH,9/11/2008,29.3,10/1/2013,CANINE,LABRADOR RETRIEVER,FS
179362,CASPER,5/1/2007,5.4,2/17/2016,CANINE,PEKINGESE,MC
179577,LOUIS,7/16/2004,5.89,9/4/2014,CANINE,PEKINGESE,MC
179680,JACKIE,3/9/2002,13.4,6/13/2016,CANINE,FLAT-COATED RETRIEVER,FS
179917,MAGGIE,6/23/2009,20,6/14/2016,CANINE,AMERICAN COCKER SPANIEL,FS
179930,KODI,7/30/2006,64.2,9/5/2014,CANINE,NEWFOUNDLAND,MC
179949,SCOUT,7/18/2005,5.9,10/1/2013,FELINE,MIXED BREED CAT,FS
179968,BOGEY,2/12/2004,8.8,11/12/2015,CANINE,BICHON FRISE,MC
179988,GUINNESS,6/22/2007,45.3,12/17/2015,CANINE,NEWFOUNDLAND,MC
180266,CASSEDY,1/21/2013,24.8,11/19/2013,CANINE,LABRADOR RETRIEVER,MC
180283,BACHELOR,7/24/2004,37.1,5/21/2015,CANINE,GOLDEN RETRIEVER,MC
180350,CASEY,8/14/1995,450,5/27/2014,EQUINE,ARABIAN,F
180606,HIGH COTTON,9/2/1994,535,5/12/2016,EQUINE,PAINT HORSE,F
180759,JEWELS,9/10/2012,4.1,9/15/2015,FELINE,AMERICAN DOMESTIC SHORTHAIR,MC
180783,CARMEL,3/1/2012,5.45,6/27/2014,FELINE,AMERICAN DOMESTIC SHORTHAIR,MC
180821,BOSTON,7/15/2007,39.4,8/3/2015,CANINE,GERMAN SHEPHERD DOG,MC
180825,HUNTER,6/21/2006,31.1,6/8/2016,CANINE,GOLDEN RETRIEVER,MC
180885,CHIEF,9/16/2006,47.5,3/22/2016,CANINE,DOBERMAN PINSCHER,MC
181016,ABSOLUTE CHARM,9/12/2002,517,10/31/2013,EQUINE,THOROUGHBRED,F
181043,PIPER,12/24/2012,48.8,9/27/2013,CAPRINE,BOER,UNK
181473,CHARLIE,1/14/2010,27.4,3/4/2016,CANINE,GOLDEN RETRIEVER,MC
181474,REAGAN,1/24/2012,27.4,6/7/2016,CANINE,LABRADOR RETRIEVER,MC
181476,BOOMER,10/16/2009,11.7,9/8/2015,CANINE,"BULLDOG, FRENCH",MC
181503,JERSEY,1/1/2009,33,1/7/2015,CANINE,LABRADOR RETRIEVER,FS
181513,BELLA,2/5/2012,30.6,12/3/2013,CANINE,LABRADOR RETRIEVER,FS
181540,WINSTON,3/5/2013,18.2,5/20/2014,CANINE,"BULLDOG, ENGLISH",MC
181549,MIMI,11/5/2005,4.7,2/25/2014,CANINE,SHIH TZU,FS
181688,LUKE,8/1/1999,20,12/1/2014,CANINE,SAMOYED,MC
181884,BEATRICE,4/25/2011,33.566,6/15/2016,CANINE,AMERICAN BULLDOG,FS
181911,GALAHAD,5/20/2005,7.7,5/31/2016,FELINE,MAINE COON CAT,MC
182461,MISTIC MOONGLOW,11/8/1995,580,11/11/2013,EQUINE,QUARTER HORSE,F
182772,OSCAR,6/26/2009,37,4/2/2016,CANINE,GREAT PYRENEES,MC
182777,KIMBO,11/20/2003,45.1,3/4/2015,CANINE,GERMAN SHEPHERD DOG,M
183005,DORA,1/2/2006,36.7,12/11/2015,CANINE,BOXER,FS
183025,TALGEE,5/30/2002,9.3,4/25/2016,CANINE,AMERICAN COCKER SPANIEL,FS
183100,CONCHO,12/10/1994,535,12/17/2013,EQUINE,THOROUGHBRED,MC
183277,PRECIOUS,7/3/2007,49.2,7/14/2014,CANINE,MASTIFF,F
183333,RASCAL,7/8/2003,35.7,9/24/2014,CANINE,LABRADOR RETRIEVER,MC
183394,JACKSON,6/26/2011,32,5/9/2014,CANINE,LABRADOR RETRIEVER,MC
183504,COCO,12/24/2005,10,5/26/2015,CANINE,POODLE,FS
183720,BEAR,3/29/2012,6.09,3/12/2015,CANINE,SHIH TZU,MC
183773,SKYE,12/30/2004,11.4,5/10/2016,CANINE,SCOTTISH TERRIER,FS
183877,GLORY,5/2/2012,6.5,3/7/2014,CANINE,SCHNAUZER- MINIATURE,FS
184250,HUEY,5/7/2007,40.8,5/3/2016,CANINE,LABRADOR RETRIEVER,MC
184276,BAILEY,2/10/2007,3.2,4/21/2014,CANINE,MALTESE,MC
184368,A.J.,5/3/2008,5.13,9/30/2014,FELINE,AMERICAN DOMESTIC SHORTHAIR,MC
